けやき祭準備期間,
前日までの準備物,
ポスターを各中学校・各高校に配布準備,"ポスターを4つ折りにし、封筒に各宛先が書いた住所を書いた紙を綺麗に分割し(ハサミで切る)、封筒に綺麗に貼る。鏡文(生徒会宛の文書)を頭にし、ポスターを入れる。
※順番を絶対に守る(鏡文→ポスター)
封筒を糊付けして、封を閉じる。"
けやき祭案内プリント冊子,印刷したものをホッチキス留めをする
金券BOXに金券を分ける&金券事前販売があるので、学年別で販売を行う,金券BOXを生徒会室から準備し、金券事前販売をできるように準備する
"長机・椅子・テントを準備する
①保護者後援会用
②同窓会用
③生徒会待機場所
④金券販売所
⑤飲食スペース(短大レストランパラソル付き机)
⑥部活動後援会用(サッカー・吹奏楽)
⑦受付
⑧リストバンドつける場所","各場所に準備する。
①長机4 椅子10 ガスメーター
②長机4 椅子10 ガスメーター
③長机2 椅子5 マイク&スピーカー2つ生徒会テント(TOKAIテント)
④長机8 椅子30 生徒会テント(TOKAIテント)
⑤短大より全て持ってくる
⑥各部活長机3 いす5
⑦テント3 長机8 椅子27
⑧リストバンドつけるところ　生徒机3"
ガスメーターを生徒会倉庫から搬出・正面玄関に準備,9個全て
銀色のバッグ(中身は消毒・手洗い用のポリタンク・手袋),10クラス分全て
"拡大コピーをラティスにはる
①金券販売所
②受付
③校内案内図
④QRコード(パンフレット)",各種3枚ずつ準備する
バリケードを体育館から、松前重義像の前までつなげる,全て使用し、受付以外から入場ができないようにする
アーチをA翼下足箱前に設置,受付場所横に
"けやき祭お手伝い募集案内
①音響の手伝い案内
②けやき祭お手伝い",募集ポスターを作成する
体育館ポール&チェーン(エンタメ〜の準備),"ステージ前に近すぎないように設置
スピーカーが中の方にある場合は、スピーカーに近づけないように、スピーカー周囲にポール&チェーン配置"
司会担当者決め,エンタメライブ、1日目午前中、午後の有志発表・ブロック対抗歌合戦　2日目の司会・閉会式の司会担当を決める
前庭司会担当決め,体育館で行う案内や、模擬店の始まりの放送を適宜行う
体育館司会机、椅子準備,エンタメライブ・1日目の午前中、閉会式用の生徒会司会を行う司会机を準備する（司会台・長机3つ・椅子必要個数)
受付用紙準備,印刷、カットまで行う
リストバンド準備,業者に連絡する
金券準備,業者に連絡する
"担当
・学年ごとに担当場所を決める",
