スポフェス練習期間,
前日までの準備物,
パソコンで選手入力,各クラスから提出されたメンバー表をもとに選手入力を行う。生徒会パソコンを使用する。
冊子作り,プログラムを印刷、ホッチキス留めを行う。
スポフェス練習をする際の準備物を全て準備,"①生徒会マイク&スピーカー2つ。
②団旗4種類(その年によって色が変わります)
③机2つ(サッカー部に借りる)
④練習用校旗準備(事務室あり)※事務室から借りる際は先生が行かないと借りれない場合もあります
⑤バリケード(体育館1階外)を2つ設置。※生徒が通ってはいけないところに置く
⑥マイクスタンド(団長の宣誓練習用)体育館のものを借りる
⑦ビブス
⑧etc"
クラス旗印刷・額縁に入れる,各クラスで集めたクラス旗を、全て額に入れる。(※額は生徒会室にあり)　電動ドライバーは生徒募集対策室(1階A翼)にあり
校内の各階にスポフェスの案内ポスターを貼る,作成したポスターを掲示する。終了次第はがす。
司会担当者を決めておく,スポフェス当日は司会があります。担当者を決めておくこと。
会長は話す言葉を準備,本番当日は会長の言葉があります。その準備をしておくこと。
"練習がある当日の朝準備
(HR終わり次第すぐに1階玄関集合)",
前日までに準備したものを全て、練習場所に運搬・設置,晴れの場合は外、雨の場合は体育館・剣道場・柔道場に分かれます。その都度臨機応変に対応
机設置,サッカー部から借りて、机の設置。※借りる際はサッカー部の先生に許可を得てから借りること。
マイク&スピーカー設置,生徒会のマイク&スピーカーを設置。前日までに必ず充電しておく。※当日電池がないことがないようにしておく
司会者は準備しておく,原稿を必ず前日までに確認しておく
当日の仕事内容,
司会,
部活動入場更新,生徒会の役員は、入場行進があります。会長は校旗、その他の役員は、国旗などを持って入場する。練習もあるので、必ず確認しておくこと。
,
,
,
"※担当者
例年3日間の練習があるため、学年別で準備を行うようにする。
1日目→3年生　　2日目→2年生　　3日目→1,2年生
※1年生は初めのためわからない、そのため1年生は1,2日目は見学して学び、3日目に2年生が教えながら実演する。
※司会、会長は仕事があるため、学年に関係なく担当者になった際は行う。",
