クラスマッチ,
前日の準備物,
拡大コピー,対戦表などを拡大コピーし、ラティスに貼り付ける。(貼り付ける際は綺麗に、丁寧に行う。雑に貼った場合は、やり直し)
冊子作り,対戦表を印刷し、冊子を作る
対戦記入用紙,記入用紙に対戦相手を記入し、各コートに分けて、当日記入しやすい状態で準備をしておく。
ビブス準備,各クラス用(9クラス分)。使用した次の日は、ファブリーズなどをかけて、干しておくこと。最終日は、コインランドリーで洗う。(使用した学年の生徒会が責任を持って行うようにする。)
校舎内の各階にクラスマッチ案内を掲示,日程を拡大コピーし、各階に掲示
当日の朝準備(8:00集合),
コート作り,"バレー部と一緒にコートの作成
審判席、ネット、チェーン＆ポールの設置、拡大コピーの配置"
各コートのかご,ボール2つ、結果記入用紙、マジックを入れて4つ準備する
ステージ上の準備,机4(生徒会用)椅子12脚、長椅子を2つ（普段体育館の後方にあるものをステージ上に移動）
スクリーン,会場図などを表示するため、朝の時点でスクリーンを下ろしておくこと。
拡大コピー、配置,前日に拡大コピーを貼ったラティスを、所定の位置に配置しておくようにする。
当日の仕事内容,
司会,当日の運営の司会を行う。(原稿あり)
タイマー係,"5分×3セット、間の交代を1分とし、必要があれば止めながら行う。
途中、時間をマイクなどで(2分前、1分前、30秒前、10、9、8、7、6…と伝える)。交代の時間が来たら、速やかに交代の指示を行う。"
集計係(複数人必要),"試合の結果を一つの冊子に書き込み、間違いがないように、得失点などを記載し、決勝トーナメント進出チームを決める。
※ただし、間違いがないようにチェックは数人で行い、計算間違いがないようにすること。"
記録係,集計係と連絡を取り合い、結果をまとめておく。後日表彰式があるため、結果を間違えないように記録をしておくこと
片付け,ビブスの回収。会場は部活動が使用するため、きれいに片付けるようにする。
"※準備について
各学年の生徒会担当者が準備を行う。1年生の準備に関しては2年生の生徒会が準備を手伝う。
運営の方法に関しては、3年生がどのようなことをするのかを教えてあげる。",
