生徒総会,,,
前日の準備物,,,実施要項
会計報告があるため、決算報告書の作成,生徒会の会計担当の先生が準備する。,,シナリオ
ipad,iPadで資料を配布するため、iPadのようの資料を作成しておく。(先生が準備),,会場図
生徒会長スピーチ&エール準備,その年の生徒会長が行う。万が一休みの場合は、副会長のどちらかが行う。エールは全ての議事が終了後行う,,
議長を決めておく,毎年、代議委員長が行う,,
会計報告係を決めておく,会計報告を行う者を決めておく。,,
司会事前に決めておく,司会は生徒会から選手を行う,,
司会担当者は原稿を読んでおく,事前に司会内容を把握しておくこと。また、複数人で行う場合は、各自で役割を決めておくようにすること。,,
当日の昼休み準備(13:10までに集合),,,
各クラスのプラカードを準備,"各クラスが並びやすいように事前に生徒会が並べておく。(アリーナのクラスもある場合があるので、注意)
※プラカードは体育館司会台の中にあります
※生徒は椅子なしで集合している状況",,
スクリーン下ろし、ボタンもリモコンも準備しておく,リモコンは、生徒会の司会の机に置いておく,,
トランシーバー準備,トランシーバーは、体育館横の透明の袋の中にある,,
マイク,司会用、会計報告用、各種委員長が自己紹介をするので、自己紹介用マイク,,
昼休みのうちに、ステージ上の幕を閉めておく(放送室にボタン有り),全員が揃ってから、幕を開けたいため、昼休みのうちに幕を閉めておくようにする,,
生徒会が使う机準備,長机3つ、椅子10程度。パソコン、,,
バックパネル(TOKAI&SDGs)4つ,生徒会の後ろにおく。,,
放送室の鍵を開けておく,放送室の鍵は緑のキーホルダーがついている。(体育教官室の中の鍵ボックスにあり),,
委員長が座る机、椅子,ステージ上には、各種委員長が並ぶため、昼休み中に並べておく。代議・体育(2人)・整備・ボランティア・風紀・文化・保健・図書の9人と、代議委員長、会計報告,,
当日の仕事内容,,,
司会,生徒会が司会を行う,,
照明＆マイク音量調節,"パワポなどを使用する場合は、ステージ上の電気を消し、生徒が見やすいように配慮するようにする。
トランシーバーで連絡もあるため、随時その時の対応で、電気をつけたり、消したりするようにする",,
スクリーン上げ下ろし,必要な時はスクリーンを下ろす。必要ない時は、スクリーンをあげる作業を行う。,,
幕を開ける係(放送室からボタンで押す),全員が揃ってから、幕を開ける。トランシーバーで連絡あり。,,
