第一回オープンスクール,
前日の準備物,
パイプ椅子・机・シート敷,部活動と一緒に準備を行う
バックパネル準備(4つ）,バックパネルを司会台後ろと、女子バスケ側の扉前におく
ステージに置く照明,体育館倉庫にMCなどを目立たせる照明が2つある。それを設置。
司会あたりの準備,司会机(跳び箱あたりの大きな机)と、長机2つを準備する。椅子も必要分準備(生徒会が座る分)
司会台の敷物,体育館倉庫に青色のシートを机に綺麗にかける(画鋲、テープを使用して、綺麗にはる)
マイク・トランシーバー・スクリーンリモコン,司会台に左記のものを準備する
司会担当者を決めておく,MCはいるが司会(トイレなどの案内をする)人を決めておく
担当(司会・照明&マイク音量・スクリーン)を決めておく,生徒会の中で担当者を決めておく
当日の朝準備(9:00集合),
マイク,音量が適切か、再度確認する(先生からの指示あり)
トランシーバー,電池が入っているか、ちゃんと会話ができるか確認
青色シートが綺麗に貼れているか確認,前日に貼ったものがずれていないかを確認
担当の確認,スクリーンのあげるタイミングなどそれぞれの担当者は、どのタイミングで行うのかを再度確認し、ミスがないようにする。
司会,司会者は原稿を確認し、アナウンスの準備をしておく
当日の仕事内容,
司会,アナウンスを行う。臨機応変に行う
照明&マイク音量調整,照明のON/OFF(タイミングは前日に確認しておく)。マイクの音量は話す人によって、音量が変わるので、その都度トランシーバーで指示がある。
スクリーン,スクリーンの上げ/下げ(タイミングは前日に確認しておく)。
お助け係,何か起こった時に、緊急で動けるように司会の後ろで待機しておく。
ステージ上の照明ON/OFF,MCなどの照明をその都度ON/OFF(前日にタイミングを確認しておく)。リモコンがないため、ステージ上の照明のスイッチを直接押さないといけないから、注意。
"※準備について
第一回目のオープンスクールは、1年生と、3年生で行う。準備に関しても1、3年生で行う。
1年生は初めてのオープンスクールなので、3年生と一緒にやり方を教えてもらう。",
